,Row.names,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant
1740,ENSG00000089154,188.3858452,-0.422444811,0.285143242,0.004841628,0.039349958,downregulated
1741,ENSG00000089157,10429.68984,0.139250946,0.082601295,0.034771352,0.137741922,unchanged
1742,ENSG00000089159,1393.563674,-0.61439272,0.141933357,7.81E-07,0.00021293,downregulated
1743,ENSG00000089163,8.754233816,0.037602121,0.113993586,0.519587681,0.708254194,unchanged
1744,ENSG00000089169,16.01086836,-0.770706497,0.296807935,0.000225221,0.005691257,downregulated
1745,ENSG00000089177,146.8467178,0.08579331,0.093183125,0.214316465,0.417798972,unchanged
1746,ENSG00000089195,110.178942,-0.026181515,0.070417786,0.657546458,0.806120507,unchanged
1747,ENSG00000089199,0.074346538,-0.000930588,0.12869414,0.987636846,NA,unchanged
1748,ENSG00000089220,374.2555517,-0.003508437,0.089313398,0.954387094,0.97784231,unchanged
1749,ENSG00000089234,731.8091066,0.055446498,0.063838294,0.315598386,0.527949913,unchanged
1750,ENSG00000089248,573.2612902,0.041292692,0.064847646,0.465800614,0.664156961,unchanged
1751,ENSG00000089280,224.5157907,-0.104637784,0.094443322,0.135762917,0.317683259,unchanged
1752,ENSG00000089289,44.83002852,-0.010847165,0.114896024,0.821057056,0.90621423,unchanged
1753,ENSG00000089327,171.4879402,-0.14359747,0.126876603,0.079101836,0.228378914,unchanged
1754,ENSG00000089335,317.3245944,0.160153894,0.081022665,0.015966146,0.084637965,unchanged
1755,ENSG00000089351,313.999599,-0.225647636,0.130995532,0.01298833,0.074458858,unchanged
1756,ENSG00000089356,0.371580368,0.001594052,0.1285225,0.853763451,NA,unchanged
1757,ENSG00000089472,4.308425088,0.033256417,0.129061468,0.331231444,NA,unchanged
1758,ENSG00000089486,137.3917129,-0.337741193,0.138325983,0.001346769,0.017437449,downregulated
1759,ENSG00000089505,1.144471139,-0.004901118,0.128071549,0.51957853,NA,unchanged
1760,ENSG00000089558,0.476413214,-0.007042526,0.128600344,0.636662234,NA,unchanged
1761,ENSG00000089597,1222.217421,-0.266925575,0.11244785,0.002450061,0.025250405,downregulated
1762,ENSG00000089639,643.6832006,-0.57836688,0.162820557,1.63E-05,0.001014416,downregulated
1763,ENSG00000089682,162.8399562,0.175678945,0.075864388,0.006512507,0.048715248,upregulated
1764,ENSG00000089685,7.823059789,0.063859694,0.138288092,0.167678002,0.360260725,unchanged
1765,ENSG00000089692,16.4831043,-0.478469484,0.272111448,0.003140919,0.029493524,downregulated
1766,ENSG00000089693,407.8130663,-0.103414098,0.097181969,0.14501988,0.330820148,unchanged
1767,ENSG00000089723,6.641221966,0.016371059,0.112697963,0.762738663,0.875848716,unchanged
1768,ENSG00000089737,882.1678355,-0.019012299,0.074367025,0.750894149,0.867749095,unchanged
1769,ENSG00000089775,287.4672368,0.024073182,0.082368656,0.697109145,0.831855132,unchanged
1770,ENSG00000089818,568.1052537,0.064562035,0.058841791,0.213139123,0.41638089,unchanged
1771,ENSG00000089820,671.7652814,-0.396375188,0.111904436,2.89E-05,0.001486752,downregulated
1772,ENSG00000089847,0.837032068,0.000632588,0.127102618,0.890954624,NA,unchanged
1773,ENSG00000089876,37.90022232,0.005955114,0.12163494,0.876160803,0.939035623,unchanged
1774,ENSG00000089902,954.7659826,-0.038886679,0.0869325,0.539733839,0.724021716,unchanged
1775,ENSG00000089916,773.2193008,0.097380408,0.06153359,0.070405628,0.213152699,unchanged
1776,ENSG00000090006,48.5734882,-0.322281553,0.232652656,0.008071414,0.055830309,unchanged
1777,ENSG00000090013,5569.270482,0.243811633,0.301794156,0.022057649,0.103386362,unchanged
1778,ENSG00000090020,114.0159833,-0.317821121,0.204163534,0.00854533,0.057487068,unchanged
1779,ENSG00000090054,768.4344294,0.10159718,0.066946607,0.077095449,0.225082719,unchanged
1780,ENSG00000090060,1450.245138,0.069705082,0.066660217,0.219514223,0.423751235,unchanged
1781,ENSG00000090061,87.59175924,-0.445124843,0.118333959,9.27E-06,0.000737483,downregulated
1782,ENSG00000090097,33.88246675,-0.152652975,0.136927055,0.062466172,0.197260846,unchanged
1783,ENSG00000090104,36.03580646,0.214607169,0.172081689,0.02419152,0.109781909,unchanged
1784,ENSG00000090238,1001.173341,0.10190132,0.109651015,0.167417055,0.359872567,unchanged
1785,ENSG00000090263,105.4303509,0.137811335,0.082081465,0.03698998,0.143250786,unchanged
1786,ENSG00000090266,131.184755,0.028437314,0.074938861,0.638452922,0.792682713,unchanged
1787,ENSG00000090273,70.36201384,-0.226978672,0.113954678,0.008891082,0.058796688,unchanged
1788,ENSG00000090316,400.7343043,-0.089571806,0.089085185,0.182375584,0.378223024,unchanged
1789,ENSG00000090339,339.9413017,-0.062715265,0.093570783,0.348151607,0.559236411,unchanged
1790,ENSG00000090372,208.7466779,-0.374356909,0.135862965,0.000535644,0.010060287,downregulated
1791,ENSG00000090376,1041.373308,0.094257999,0.101813513,0.18269182,0.378707986,unchanged
1792,ENSG00000090382,8581.966833,0.026740752,0.102435414,0.670965698,0.814621256,unchanged
1793,ENSG00000090432,205.0328787,-0.153169318,0.076238217,0.016655358,0.086729426,unchanged
1794,ENSG00000090447,14.21180391,-0.298291595,0.220732858,0.011148484,0.067470997,unchanged
1795,ENSG00000090470,146.3498583,-0.041253183,0.062568434,0.44847333,0.650389707,unchanged
1796,ENSG00000090487,1151.249538,0.086762618,0.072549679,0.151450364,0.340068059,unchanged
1797,ENSG00000090520,126.3843077,-0.012162747,0.072812027,0.836939153,0.91552002,unchanged
1798,ENSG00000090530,2.353412477,-0.071906432,0.151758314,0.062076675,NA,unchanged
1799,ENSG00000090554,59.28013098,-0.032356802,0.095882145,0.616882632,0.778400265,unchanged
1800,ENSG00000090565,36.79675971,-0.538426835,0.164356377,5.54E-05,0.00228232,downregulated
1801,ENSG00000090581,38.14315853,-0.041918033,0.10542816,0.499831837,0.693154112,unchanged
1802,ENSG00000090612,409.8917553,0.142227386,0.082341481,0.032939002,0.133267679,unchanged
1803,ENSG00000090615,279.5403896,-0.23544426,0.121395306,0.007335602,0.052553039,unchanged
1804,ENSG00000090621,240.1472306,-0.065700593,0.095065615,0.329584224,0.542145203,unchanged
1805,ENSG00000090659,2.76979708,-0.047040022,0.135951888,0.165365169,NA,unchanged
1806,ENSG00000090661,64.34074162,-0.001698345,0.090028508,0.975323944,0.988536812,unchanged
1807,ENSG00000090674,316.1979203,0.088739783,0.134452552,0.189540511,0.386480584,unchanged
1808,ENSG00000090686,292.8603355,0.198947879,0.090533843,0.006278349,0.047537541,upregulated
1809,ENSG00000090776,33.0686285,-0.637915872,0.144002747,3.72E-07,0.000155989,downregulated
1810,ENSG00000090857,182.1901892,-0.300079402,0.265160197,0.009849445,0.062334783,unchanged
1811,ENSG00000090861,187.7749116,-0.081951415,0.090325755,0.226162802,0.431827747,unchanged
1812,ENSG00000090863,912.8140693,-0.210163081,0.098258362,0.006990645,0.051113321,unchanged
1813,ENSG00000090889,21.20779857,0.108571883,0.14591122,0.132666043,0.312869433,unchanged
1814,ENSG00000090905,161.1040937,-0.497335039,0.258043178,0.002012523,0.022463978,downregulated
1815,ENSG00000090924,53.75897612,-0.23311268,0.163829921,0.017627539,0.089964146,unchanged
1816,ENSG00000090932,0.691819018,0.004989943,0.127025588,0.726107918,NA,unchanged
1817,ENSG00000090971,4.918835792,-0.036445082,0.120849906,0.476304456,0.673187989,unchanged
1818,ENSG00000090975,79.8285449,-0.385473354,0.194763412,0.002620596,0.026454433,downregulated
1819,ENSG00000090989,343.8322729,0.081802505,0.106085219,0.243642141,0.451862639,unchanged
1820,ENSG00000091009,382.1916674,-0.19776667,0.08479365,0.004688659,0.038428701,downregulated
1821,ENSG00000091010,0.609588661,0.043360731,0.137751975,0.068726131,NA,unchanged
1822,ENSG00000091039,2717.885368,-0.066540267,0.075728632,0.274367001,0.486361892,unchanged
1823,ENSG00000091073,91.91362725,-0.547218708,0.153721574,2.34E-05,0.001294754,downregulated
